"File","Build","Level","Feat","Match"
"KM_Builds_A4.md","WANDERING APPARITION SUPPORT ANIMIST","4","Wandering Liturgist (add Apparition of Battle — attack bonus aura)","Wandering Liturgist"
"KM_Builds_A4.md","WANDERING APPARITION SUPPORT ANIMIST","6","Greater Wandering (add Apparition of Ancestors — skill bonus)","Greater Wandering"
"KM_Builds_A4.md","WANDERING APPARITION SUPPORT ANIMIST","15","Legendary Liturgist","Legendary Liturgist"
"KM_Builds_A4.md","PRIMAL ELEMENT BLASTER ANIMIST","3","Two L1 feats grabs Nimble Elf Dedication path + Elemental Blast Initiate simultaneously for faster damage scaling.","Elemental Blast Initiate"
"KM_Builds_A4.md","PRIMAL ELEMENT BLASTER ANIMIST","1","Nimble Elf (heritage, auto) + Otherworldly Magic (ancestry) + + Elemental Blast Initiate","Elemental Blast Initiate"
"KM_Builds_A4.md","PRIMAL ELEMENT BLASTER ANIMIST","2","Wandering Liturgist (support/utility apparition)","Wandering Liturgist"
"KM_Builds_A4.md","PRIMAL ELEMENT BLASTER ANIMIST","15","Legendary Liturgist","Legendary Liturgist"
"KM_Builds_A5.md","ESOTERIC TOXICOLOGIST ALCHEMIST","13","True Perpetual Infusions","True Perpetual Infusions"
"KM_Builds_A5.md","ESOTERIC TOXICOLOGIST ALCHEMIST","17","Perfect Mutagen","Perfect Mutagen"
"KM_Builds_A5.md","ARCANE ARTIFICER ALCHEMIST","13","True Perpetual Infusions","True Perpetual Infusions"
"KM_Builds_A5.md","ARCANE ARTIFICER ALCHEMIST","15","Mega Bomb","Mega Bomb"
"KM_Builds_A5.md","ARCANE ARTIFICER ALCHEMIST","17","Perfect Bombs","Perfect Bombs"
"KM_Builds_B3.md","DIRGE OF DOOM PURE BARD","15","Eternal Composition","Eternal Composition"
"KM_Builds_B3.md","DIRGE OF DOOM PURE BARD","20","Triumphant Inspiration","Triumphant Inspiration"
"KM_Builds_B3.md","POLYMATH ARCANE SPELLBOOK BARD","15","Eternal Composition","Eternal Composition"
"KM_Builds_B3.md","POLYMATH ARCANE SPELLBOOK BARD","20","Triumphant Inspiration","Triumphant Inspiration"
"KM_Builds_B3.md","ENIGMA STRATAGEM BARD","15","Eternal Composition","Eternal Composition"
"KM_Builds_B3.md","ENIGMA STRATAGEM BARD","20","Triumphant Inspiration","Triumphant Inspiration"
"KM_Builds_B3.md","MAESTRO EIDOLON BARD","15","Eternal Composition","Eternal Composition"
"KM_Builds_B3.md","MAESTRO EIDOLON BARD","20","Triumphant Inspiration","Triumphant Inspiration"
"KM_Builds_B3.md","WARRIOR MUSE PURE BARD","15","Eternal Composition","Eternal Composition"
"KM_Builds_B3.md","WARRIOR MUSE PURE BARD","20","Triumphant Inspiration","Triumphant Inspiration"
"KM_Builds_B4.md","VIRTUOSO MAESTRO","15","Eternal Composition","Eternal Composition"
"KM_Builds_B4.md","VIRTUOSO MAESTRO","20","Triumphant Inspiration","Triumphant Inspiration"
"KM_Builds_B4.md","WARRIOR MUSE MELEE BARD","15","Eternal Composition","Eternal Composition"
"KM_Builds_B4.md","WARRIOR MUSE MELEE BARD","20","Triumphant Inspiration","Triumphant Inspiration"
"KM_Builds_B4.md","POLYMATH SPELLBLADE BARD","15","Eternal Composition","Eternal Composition"
"KM_Builds_B4.md","POLYMATH SPELLBLADE BARD","20","Triumphant Inspiration","Triumphant Inspiration"
"KM_Builds_B4.md","ENIGMA SUPPORT BARD","15","Eternal Composition","Eternal Composition"
"KM_Builds_B4.md","ENIGMA SUPPORT BARD","20","Triumphant Inspiration","Triumphant Inspiration"
"KM_Builds_B4.md","MAESTRO AMP BARD","15","Eternal Composition","Eternal Composition"
"KM_Builds_B4.md","MAESTRO AMP BARD","20","Triumphant Inspiration","Triumphant Inspiration"
"KM_Builds_D.md","TACTICAL COMMANDER","4","Battlefield Coordination (2 tactics/turn)","Battlefield Coordination"
"KM_Builds_D.md","TACTICAL COMMANDER","10","Grand Tactics (3 tactics/turn)","Grand Tactics"
"KM_Builds_D.md","TACTICAL COMMANDER","11","Supreme Command (free-action tactics always)","Supreme Command"
"KM_Builds_D.md","TACTICAL COMMANDER","13","Legendary Commander","Legendary Commander"
"KM_Builds_D.md","TACTICAL COMMANDER","15","Unbreakable Formation","Unbreakable Formation"
"KM_Builds_D.md","TACTICAL COMMANDER","17","Perfect Tactician","Perfect Tactician"
"KM_Builds_D.md","TACTICAL COMMANDER","20","Army of One","Army of One"
"KM_Builds_D.md","RETRIBUTIVE BANNER COMMANDER","10","Grand Tactics","Grand Tactics"
"KM_Builds_D.md","RETRIBUTIVE BANNER COMMANDER","11","Supreme Command","Supreme Command"
"KM_Builds_D.md","RETRIBUTIVE BANNER COMMANDER","13","Legendary Commander","Legendary Commander"
"KM_Builds_D.md","RETRIBUTIVE BANNER COMMANDER","15","Unbreakable Formation","Unbreakable Formation"
"KM_Builds_D.md","RETRIBUTIVE BANNER COMMANDER","17","Perfect Tactician","Perfect Tactician"
"KM_Builds_D.md","RETRIBUTIVE BANNER COMMANDER","20","Army of One","Army of One"
"KM_Builds_D.md","STRATEGIST SPELLCASTER COMMANDER","10","Grand Tactics","Grand Tactics"
"KM_Builds_D.md","STRATEGIST SPELLCASTER COMMANDER","13","Legendary Commander","Legendary Commander"
"KM_Builds_D.md","STRATEGIST SPELLCASTER COMMANDER","15","Unbreakable Formation","Unbreakable Formation"
"KM_Builds_D.md","STRATEGIST SPELLCASTER COMMANDER","17","Perfect Tactician","Perfect Tactician"
"KM_Builds_D.md","STRATEGIST SPELLCASTER COMMANDER","20","Army of One","Army of One"
"KM_Builds_D.md","VANGUARD MELEE COMMANDER","4","Battlefield Coordination","Battlefield Coordination"
"KM_Builds_D.md","VANGUARD MELEE COMMANDER","10","Grand Tactics","Grand Tactics"
"KM_Builds_D.md","VANGUARD MELEE COMMANDER","11","Supreme Command","Supreme Command"
"KM_Builds_D.md","VANGUARD MELEE COMMANDER","13","Legendary Commander","Legendary Commander"
"KM_Builds_D.md","VANGUARD MELEE COMMANDER","15","Unbreakable Formation","Unbreakable Formation"
"KM_Builds_D.md","VANGUARD MELEE COMMANDER","17","Perfect Tactician","Perfect Tactician"
"KM_Builds_D.md","VANGUARD MELEE COMMANDER","20","Army of One","Army of One"
"KM_Builds_D.md","INSPIRATIONAL SUPPORT COMMANDER","4","Battlefield Coordination","Battlefield Coordination"
"KM_Builds_D.md","INSPIRATIONAL SUPPORT COMMANDER","10","Grand Tactics","Grand Tactics"
"KM_Builds_D.md","INSPIRATIONAL SUPPORT COMMANDER","11","Supreme Command","Supreme Command"
"KM_Builds_D.md","INSPIRATIONAL SUPPORT COMMANDER","13","Legendary Commander","Legendary Commander"
"KM_Builds_D.md","INSPIRATIONAL SUPPORT COMMANDER","15","Unbreakable Formation","Unbreakable Formation"
"KM_Builds_D.md","INSPIRATIONAL SUPPORT COMMANDER","17","Perfect Tactician","Perfect Tactician"
"KM_Builds_D.md","INSPIRATIONAL SUPPORT COMMANDER","20","Army of One","Army of One"
"KM_Builds_D.md","TACTICAL OVERLORD","13","Legendary Commander","Legendary Commander"
"KM_Builds_D.md","TACTICAL OVERLORD","17","Supreme Commander","Supreme Command"
"KM_Builds_D.md","TACTICAL OVERLORD","20","Army of One","Army of One"
"KM_Builds_D2.md","RALLYING BANNER COMMANDER","10","Grand Tactics","Grand Tactics"
"KM_Builds_D2.md","RALLYING BANNER COMMANDER","13","Legendary Commander","Legendary Commander"
"KM_Builds_D2.md","RALLYING BANNER COMMANDER","15","Unbreakable Formation","Unbreakable Formation"
"KM_Builds_D2.md","RALLYING BANNER COMMANDER","17","Perfect Tactician","Perfect Tactician"
"KM_Builds_D2.md","RALLYING BANNER COMMANDER","20","Army of One","Army of One"
"KM_Builds_D2.md","DEVISE STRATAGEM COMMANDER","5","Battlefield Coordination","Battlefield Coordination"
"KM_Builds_D2.md","DEVISE STRATAGEM COMMANDER","10","Grand Tactics","Grand Tactics"
"KM_Builds_D2.md","DEVISE STRATAGEM COMMANDER","11","Supreme Command","Supreme Command"
"KM_Builds_D2.md","DEVISE STRATAGEM COMMANDER","13","Legendary Commander","Legendary Commander"
"KM_Builds_D2.md","DEVISE STRATAGEM COMMANDER","15","Unbreakable Formation","Unbreakable Formation"
"KM_Builds_D2.md","DEVISE STRATAGEM COMMANDER","17","Perfect Tactician","Perfect Tactician"
"KM_Builds_D2.md","DEVISE STRATAGEM COMMANDER","20","Army of One","Army of One"
"KM_Builds_D2.md","REACTIVE VANGUARD COMMANDER","4","Battlefield Coordination","Battlefield Coordination"
"KM_Builds_D2.md","REACTIVE VANGUARD COMMANDER","10","Grand Tactics","Grand Tactics"
"KM_Builds_D2.md","REACTIVE VANGUARD COMMANDER","11","Supreme Command","Supreme Command"
"KM_Builds_D2.md","REACTIVE VANGUARD COMMANDER","13","Legendary Commander","Legendary Commander"
"KM_Builds_D2.md","REACTIVE VANGUARD COMMANDER","15","Unbreakable Formation","Unbreakable Formation"
"KM_Builds_D2.md","REACTIVE VANGUARD COMMANDER","17","Perfect Tactician","Perfect Tactician"
"KM_Builds_D2.md","REACTIVE VANGUARD COMMANDER","20","Army of One","Army of One"
"KM_Builds_D2.md","RALLYING HEALER COMMANDER","10","Grand Tactics","Grand Tactics"
"KM_Builds_D2.md","RALLYING HEALER COMMANDER","13","Legendary Commander","Legendary Commander"
"KM_Builds_D2.md","RALLYING HEALER COMMANDER","15","Unbreakable Formation","Unbreakable Formation"
"KM_Builds_D2.md","RALLYING HEALER COMMANDER","17","Perfect Tactician","Perfect Tactician"
"KM_Builds_D2.md","RALLYING HEALER COMMANDER","20","Army of One","Army of One"
"KM_Builds_G4.md","KINETIC + MAGUS","8","Hold-Scarred Diehard via Orc Blood keeps the hybrid upright after a Force Fang + Blast two-action turn gets counter-punched — one extra action to Channel Elements and disengage.","Force Fang"
"KM_Builds_G4.md","KINETIC + MAGUS","2","Magus Dedication (Spellstrike: Force Fang through Shortsword, Arcane Cascade)","Force Fang"
"KM_Builds_H.md","SPELLSTRIKE HYBRID","9","Access to Elven Weapon Familiarity lets you retrain into an elven curve blade while keeping Human bonus feat for Force Fang.","Force Fang"
"KM_Builds_H.md","SPELLSTRIKE HYBRID","1","Natural Ambition + Force Fang","Force Fang"
"KM_Builds_H.md","DIMENSIONAL STRIKER MAGUS","1","Natural Ambition + Force Fang","Force Fang"
"KM_Builds_H.md","TWISTING TREE","1","Natural Ambition + Force Fang","Force Fang"
"KM_Builds_H.md","PSYCHIC AMP + MAGUS","2","Natural Ambition picks up Force Fang free so your L1 feat slot goes to Psychic Dedication setup instead, compressing the combo by a full level.","Force Fang"
"KM_Builds_H.md","PSYCHIC AMP + MAGUS","5","Nanite Surge +2 to the finesse Spellstrike attack roll lines up with an Amped Force Fang turn for a high-confidence crit.","Force Fang"
"KM_Builds_H.md","PSYCHIC AMP + MAGUS","1","Fey-Touched (heritage, auto) + Animal Accomplice (ancestry) + + Force Fang","Force Fang"
"KM_Builds_H.md","PSYCHIC AMP + MAGUS","2","Psychic Dedication (Amped Force Fang 4d4+4)","Force Fang"
"KM_Builds_H.md","PSYCHIC AMP + MAGUS","13","Apex Amp (maximize Force Fang dice)","Force Fang"
"KM_Builds_H.md","WARPRIEST STRIKE + CLERIC","1","Natural Ambition + Force Fang","Force Fang"
"KM_Builds_H.md","PURE SPELLSTRIKE","1","Adopted Ancestry + Force Fang","Force Fang"
"KM_Builds_H2.md","EXEMPLAR IKON + MAGUS","1","Natural Ambition + Force Fang","Force Fang"
"KM_Builds_H2.md","IMPULSE SPELLSTRIKE MAGUS","1","Natural Ambition + Force Fang","Force Fang"
"KM_Builds_H2.md","POWER ATTACK ACCURACY MAGUS","1","Natural Ambition + Force Fang","Force Fang"
"KM_Builds_H2.md","SUPPORT MAGUS","1","Adopted Ancestry + Force Fang","Force Fang"
"KM_Builds_H4.md","KI SPELLBLADE + MAGUS","5","Nanite Surge +2 on the Flurry Spellstrike attack — the second Flurry hit carrying Force Fang is worth guaranteeing 1/day.","Force Fang"
"KM_Builds_H4.md","KI SPELLBLADE + MAGUS","3","Basic Arcana (Force Fang focus)","Force Fang"
"KM_Builds_I2.md","PURE MYSTERY SPELLBLADE","3","Basic Arcana (Force Fang focus)","Force Fang"
"KM_Builds_I3.md","FLURRY HUNTER (TWIN + PRECISION)","17","Legendary Hunter","Legendary Hunter"
"KM_Builds_I3.md","PURE FLURRY (NO DEDICATION)","17","Legendary Hunter","Legendary Hunter"
"KM_Builds_I5.md","MINDSMITH WEAPON + MAGUS","4","Basic Arcana (Force Fang focus)","Force Fang"
"KM_Builds_J.md","DRACONIC BLOODLINE BLASTER","11","Bloodline Perfection","Bloodline Perfection"
"KM_Builds_J.md","DRACONIC BLOODLINE BLASTER","17","Apex Bloodline (Dragon Form 1/day)","Apex Bloodline"
"KM_Builds_J.md","ELEMENTAL BLOODLINE + KINETICIST","17","Apex Bloodline","Apex Bloodline"
"KM_Builds_J.md","PSYCHIC BLOODLINE AMP","17","Apex Bloodline (Dominate focus)","Apex Bloodline"
"KM_Builds_J.md","SHADOW BLOODLINE CONTROL","15","Greater Bloodline Spells","Greater Bloodline Spells"
"KM_Builds_J.md","SHADOW BLOODLINE CONTROL","17","Apex Bloodline (become shadow)","Apex Bloodline"
"KM_Builds_J.md","PURE SPONTANEOUS BLASTER","11","Bloodline Perfection","Bloodline Perfection"
"KM_Builds_J.md","PURE SPONTANEOUS BLASTER","17","Apex Bloodline (Wish 1/day)","Apex Bloodline"
"KM_Builds_J.md","DIVINE BLOODLINE + CLERIC","17","Apex Bloodline (resurrection 1/day)","Apex Bloodline"
"KM_Builds_J2.md","ELDRITCH TRICKSTER + PSYCHIC","17","Apex Trickster (Sneak dice to area spells)","Apex Trickster"
"KM_Builds_J4.md","ABERRANT BLOODLINE SUPPORT","15","Greater Bloodline Spells","Greater Bloodline Spells"
"KM_Builds_J4.md","ABERRANT BLOODLINE SUPPORT","17","Apex Bloodline (True Dominate 1/day)","Apex Bloodline"
"KM_Builds_J4.md","STORM BLOODLINE + DRUID","17","Apex Bloodline (Control Weather at will)","Apex Bloodline"
"KM_Builds_J4.md","TRANSCENDENCE SORCERER","4","Basic Transcendence (1/day surge)","Basic Transcendence"
"KM_Builds_J4.md","TRANSCENDENCE SORCERER","6","Advanced Transcendence (2nd Ikon)","Advanced Transcendence"
"KM_Builds_J4.md","TRANSCENDENCE SORCERER","8","Transcendence Share (ally bonus)","Transcendence Share"
"KM_Builds_J4.md","TRANSCENDENCE SORCERER","10","Master Transcendence (2/day surge)","Master Transcendence"
"KM_Builds_J4.md","TRANSCENDENCE SORCERER","11","Bloodline Perfection","Bloodline Perfection"
"KM_Builds_J4.md","TRANSCENDENCE SORCERER","17","Apex Bloodline (Dragon Form during surge = nuke)","Apex Bloodline"
"KM_Builds_J4.md","BLOODLINE SUPPORT BUFFER","17","Apex Bloodline (party-wide Inspire Legend)","Apex Bloodline"
"KM_Builds_K2.md","MARTIAL EIDOLON + MAGUS (SPELLSTRIKE PET)","15","Legendary Eidolon","Legendary Eidolon"
"KM_Builds_K2.md","MARTIAL EIDOLON + MAGUS (SPELLSTRIKE PET)","17","Infinite Aspect","Infinite Aspect"
"KM_Builds_K2.md","MARTIAL EIDOLON + MAGUS (SPELLSTRIKE PET)","20","True Eidolon","True Eidolon"
"KM_Builds_K2.md","PLANT EIDOLON TANK + GUARDIAN","15","Legendary Eidolon","Legendary Eidolon"
"KM_Builds_K2.md","PLANT EIDOLON TANK + GUARDIAN","17","Infinite Aspect","Infinite Aspect"
"KM_Builds_K2.md","PLANT EIDOLON TANK + GUARDIAN","20","True Eidolon","True Eidolon"
"KM_Builds_K2.md","SPELLCASTING SUMMONER + BARD","15","Legendary Eidolon","Legendary Eidolon"
"KM_Builds_K2.md","SPELLCASTING SUMMONER + BARD","17","Infinite Aspect","Infinite Aspect"
"KM_Builds_K2.md","SPELLCASTING SUMMONER + BARD","20","True Eidolon","True Eidolon"
"KM_Builds_K2.md","DRAGON EIDOLON BLASTER","15","Legendary Eidolon","Legendary Eidolon"
"KM_Builds_K2.md","DRAGON EIDOLON BLASTER","17","Infinite Aspect","Infinite Aspect"
"KM_Builds_K2.md","DRAGON EIDOLON BLASTER","20","True Eidolon","True Eidolon"
"KM_Builds_K2.md","PURE EIDOLON STRIKER (NO DIP)","15","Legendary Eidolon","Legendary Eidolon"
"KM_Builds_K2.md","PURE EIDOLON STRIKER (NO DIP)","17","Infinite Aspect","Infinite Aspect"
"KM_Builds_K2.md","PURE EIDOLON STRIKER (NO DIP)","20","True Eidolon","True Eidolon"
"KM_Builds_K2.md","INCARNATE + EXEMPLAR (TRANSCENDENCE EIDOLON)","6","Multitalented allows Exemplar Dedication at L2 without a class feat slot, preserving the eidolon evolution chain that the Transcendence Share at L8 depends on.","Transcendence Share"
"KM_Builds_K2.md","INCARNATE + EXEMPLAR (TRANSCENDENCE EIDOLON)","4","Basic Transcendence (surge 1/day)","Basic Transcendence"
"KM_Builds_K2.md","INCARNATE + EXEMPLAR (TRANSCENDENCE EIDOLON)","6","Advanced Transcendence (2nd Ikon)","Advanced Transcendence"
"KM_Builds_K2.md","INCARNATE + EXEMPLAR (TRANSCENDENCE EIDOLON)","8","Transcendence Share (eidolon gains surge)","Transcendence Share"
"KM_Builds_K2.md","INCARNATE + EXEMPLAR (TRANSCENDENCE EIDOLON)","10","Master Transcendence (2/day)","Master Transcendence"
"KM_Builds_K2.md","INCARNATE + EXEMPLAR (TRANSCENDENCE EIDOLON)","15","Legendary Eidolon","Legendary Eidolon"
"KM_Builds_K2.md","INCARNATE + EXEMPLAR (TRANSCENDENCE EIDOLON)","20","True Eidolon","True Eidolon"
"KM_Builds_K3.md","ANIMAL EIDOLON + RANGER (COMPANION SYNERGY)","2","Ranger Dedication (Hunt Prey shared)","Hunt Prey shared"
"KM_Builds_K3.md","ANIMAL EIDOLON + RANGER (COMPANION SYNERGY)","4","Basic Hunter (Flurry/Precision Edge shared)","Basic Hunter"
"KM_Builds_K3.md","ANIMAL EIDOLON + RANGER (COMPANION SYNERGY)","6","Expert Hunter","Expert Hunter"
"KM_Builds_K3.md","ANIMAL EIDOLON + RANGER (COMPANION SYNERGY)","10","Master Hunter","Master Hunter"
"KM_Builds_K3.md","ANIMAL EIDOLON + RANGER (COMPANION SYNERGY)","13","Legendary Hunter","Legendary Hunter"
"KM_Builds_K3.md","ANIMAL EIDOLON + RANGER (COMPANION SYNERGY)","15","Legendary Eidolon","Legendary Eidolon"
"KM_Builds_K3.md","ANIMAL EIDOLON + RANGER (COMPANION SYNERGY)","17","Infinite Aspect","Infinite Aspect"
"KM_Builds_K3.md","ANIMAL EIDOLON + RANGER (COMPANION SYNERGY)","20","True Eidolon","True Eidolon"
"KM_Builds_K3.md","PHANTOM EIDOLON SUPPORT","15","Legendary Eidolon","Legendary Eidolon"
"KM_Builds_K3.md","PHANTOM EIDOLON SUPPORT","17","Infinite Aspect (aura 20 ft)","Infinite Aspect"
"KM_Builds_K3.md","PHANTOM EIDOLON SUPPORT","20","True Eidolon","True Eidolon"
"KM_Builds_K3.md","CONSTRUCT EIDOLON + INVENTOR","15","Legendary Eidolon","Legendary Eidolon"
"KM_Builds_K3.md","CONSTRUCT EIDOLON + INVENTOR","17","Infinite Aspect","Infinite Aspect"
"KM_Builds_K3.md","CONSTRUCT EIDOLON + INVENTOR","20","True Eidolon","True Eidolon"
"KM_Builds_K3.md","UTILITY SUMMONER (FLEXIBLE PET CONTROL)","15","Legendary Eidolon","Legendary Eidolon"
"KM_Builds_K3.md","UTILITY SUMMONER (FLEXIBLE PET CONTROL)","17","Infinite Aspect (any evolution 1/day)","Infinite Aspect"
"KM_Builds_K3.md","UTILITY SUMMONER (FLEXIBLE PET CONTROL)","20","True Eidolon","True Eidolon"
"KM_Builds_L.md","REGALIA THAUMATURGE","15","Legendary Exploit","Legendary Exploit"
"KM_Builds_L.md","REGALIA THAUMATURGE","17","Wonder Worker (legendary esoterica unlocked — pinnacle implement effects)","Wonder Worker"
"KM_Builds_L.md","REGALIA THAUMATURGE","20","Ultimate Esoterica","Ultimate Esoterica"
"KM_Builds_L.md","WEAPON IMPLEMENT + FIGHTER","15","Legendary Exploit","Legendary Exploit"
"KM_Builds_L.md","WEAPON IMPLEMENT + FIGHTER","17","Perfect Implement","Perfect Implement"
"KM_Builds_L.md","WEAPON IMPLEMENT + FIGHTER","20","Ultimate Esoterica","Ultimate Esoterica"
